feature_ids	NP_10m_2_trimm_paired_expression	NP_10m_3_trimm_paired_expression	NP_10m_4_trimm_paired_expression	N_10m_2_trimm_paired_expression	N_10m_4_trimm_paired_expression	N_10m_3_trimm_paired_expression	NP_1hr_1_trimm_paired_expression	NP_1hr_2_trimm_paired_expression	NP_1hr_3_trimm_paired_expression	N_1hr_2_trimm_paired_expression	N_1hr_3_trimm_paired_expression	N_1hr_4_trimm_paired_expression
3826_gene	0.0	0.04442087721600008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3827_gene	0.0	0.0	0.0	0.0	0.0	0.03359072197312426	0.0	0.0	0.0	0.0	0.05707436750608912	0.0
3828_gene	2.2663265401571873	1.2825202788113446	1.780625588787822	2.4331262579185	1.991365503882215	1.4841559429445166	2.4411241082853827	3.1070601155680273	1.5551642734374471	2.704336057537198	2.5310641051803926	1.989448443476434
3829_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
382_gene	3.50082450677714	3.624168365558902	3.4824031359747782	4.059853720774783	3.860196953111859	4.429916849475348	2.890886079798204	3.5699977397293536	3.634602308109475	3.5273348264574698	2.955780839649714	3.800049780067546
3830_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3831_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3832_gene	0.11375378520849697	0.0	0.08481351387475468	0.0	0.06004361530484273	0.0	0.0	0.12493106668942085	0.055634888516133754	0.0	0.084969122132239	0.0
3833_gene	0.18357515621700046	0.0	0.15100917959253077	0.6245250244693772	0.3903163098996021	0.40359928984806476	0.1386201584960816	0.1980110233687877	0.10053753647939659	0.22448693926573807	0.7398834866069021	0.3308146395310127
3834_gene	6.300338371575964	4.822416893571631	6.502572137238534	5.534089437843526	6.145623164079998	4.921162687726514	5.715276035874591	6.648046029283636	5.499922455329358	4.65488517214342	6.248793689642107	5.1448211178750265
3835_gene	2.5570110939291535	3.519976019134533	3.124927274404848	4.321845901751871	4.356187838722593	4.768851605028677	3.9176342489192226	4.231444427559425	3.1227137060672	4.541275768138288	4.531990750087035	4.530566517246019
3836_gene	0.0	0.0	0.0	0.0	0.0	0.06726932512235857	0.0	0.0	0.0	0.0	0.0	0.0
3837_gene	1.6849463436995542	0.7223528323570839	1.1447438202821807	1.4913778034379228	1.1357977943037278	0.7238480738113481	0.9926136263687784	0.0	1.0510442121874797	1.5824582825779068	1.1244781216978734	0.7688053293142583
3838_gene	0.6926304551936866	1.0602924243838991	0.33972804131806034	1.35446585358225	1.1853582825630562	0.9413244165649897	1.6178736506097877	1.362238445542532	1.6986508195443948	1.1325558406990555	1.027969522000904	0.8418061825236128
3839_gene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03686440031505853	0.0
383_gene	2.3891492284083227	3.1394850412547797	2.3579721117653176	3.1172578502255783	2.7719054881179943	3.6735640516778614	2.1487177933206545	2.4421476047992847	0.0	2.613108928992407	1.799924313051756	1.7600315512988034
3840_gene	0.0	0.0	0.0	0.1391754301570446	0.0	0.0	0.0	0.0	0.22028277492598877	0.21615776025506847	0.0	0.0
3841_gene	0.6067367394542649	0.5911011217636591	0.2969293183717885	0.8093816621846743	0.41582453891686033	0.38577837283020994	0.5917655103299384	0.17211673341361558	1.1497854216746068	0.5200925466231702	0.1691634570154453	0.3938157086661223
3842_gene	9.129356378848666	8.930050608189227	8.910341006450023	8.196591609854783	8.392676428092528	7.704349533526933	10.442363511665771	10.035214112175243	10.460740455803064	8.59727653752869	8.546444058295922	8.017887290948563
3843_gene	6.445956022361516	5.369482585970621	6.681153108734726	2.2350285320445042	2.078892394524337	2.3375175494820355	5.745132781812049	6.651271869580823	4.880166358690206	2.1473903722629792	2.5830786559577135	2.1687052505893787
3844_gene	4.89134886657873	4.224941309663395	4.995673388081343	0.6608954600030301	0.46668996578550026	0.6540396853620752	4.40916243323194	5.1620283541876475	3.621349504092797	0.997686945467077	0.6306824130004588	0.5986273317760488
