feature_ids	NP_10m_2_trimm_paired_expression	NP_10m_3_trimm_paired_expression	NP_10m_4_trimm_paired_expression	N_10m_2_trimm_paired_expression	N_10m_4_trimm_paired_expression	N_10m_3_trimm_paired_expression	NP_1hr_1_trimm_paired_expression	NP_1hr_2_trimm_paired_expression	NP_1hr_3_trimm_paired_expression	N_1hr_2_trimm_paired_expression	N_1hr_3_trimm_paired_expression	N_1hr_4_trimm_paired_expression
3776_gene	3.311579549542557	3.555384386049364	3.522915860381969	3.794567146438766	3.4211152866476464	3.870503507568823	3.669211513917433	3.7471543796779856	3.136547585592801	3.607032569958552	3.543354329043507	3.975120677877886
3777_gene	4.580179862616339	3.9896891797719762	4.717134169398581	4.223315502316544	5.022941003961308	3.9426195015672776	3.8105811969821564	4.582133368753085	3.9573831916552877	3.767932294382635	4.550573128309811	4.345112038226773
3778_gene	2.3328133217068836	2.136648473604581	2.2739103017289177	2.210468353879417	2.3168535900364735	2.4276742835421943	2.278177490379998	2.8048829115022724	1.803477936075038	2.0718288999736596	1.9486326163348857	1.7938351362156455
3779_gene	3.80998677809261	4.325015762528355	3.7714551349308825	4.792161942679117	4.383333601812789	4.6772880157331445	4.944863785642938	4.6426377522463325	4.706389591417928	5.296094926007303	5.1379704797059835	4.4440769093205645
377_gene	0.5465364419397373	1.1283138599435572	0.6107690301902138	0.7791142877010219	0.47052020600088945	1.1435266446775698	0.3807516095474869	0.3945251171522563	0.2592495845428887	0.3311170135268697	0.7223121287921475	0.9678790797884144
3780_gene	3.26663754194952	3.470816526901871	3.3020822628133613	3.5159955998667556	3.25381821960395	3.050806224583348	4.354639467447496	3.9667740262960343	3.711785729061149	3.387235003383801	4.0623640408294195	2.807649820002064
3781_gene	3.7601099984194772	3.6778674336857518	4.104298327233764	5.236809670307317	5.31575242392087	5.404222952866656	4.2521535018137975	5.044052116381596	4.300957171108331	5.071111911358874	5.414758660246359	5.097946740285905
3782_gene	2.8058553889741535	2.715579764392156	2.749696870080539	2.39273176025041	2.5179478702846043	2.6768568246803737	2.5897289769234124	2.8425935254694092	2.7194382174269864	2.608222821704311	2.3272188433031733	2.5375453174147995
3783_gene	5.802202162657534	5.946050003801144	5.409576743293244	4.833178473712108	5.219081491373973	5.6766081516865725	4.4509927289833096	5.142632031274581	4.077675998862658	4.65209562363082	4.426235296581678	5.131632325018433
3784_gene	3.0579023324457455	2.9860225841205272	3.170022780792599	4.181055149410355	4.585511461952678	4.514887474789627	4.245769830968907	4.748635601788688	4.331365710468646	3.987232536813937	4.626326111423732	4.5070493829492
3785_gene	8.130322006608912	8.099609465515043	7.955574972612093	7.887060395820966	7.813389488020835	7.833914931621615	8.698047867086222	8.194192197178518	8.819905810767748	7.923567235172567	7.871119292172557	7.610674220407858
3786_gene	1.3905873501895278	1.3579483042542595	1.7774466490788556	1.457512345081133	1.6696790065608318	2.2499522432774994	1.551910197880722	2.145467148726289	1.1968455852022362	0.9303785585551325	1.1925950335902034	1.850359788126415
3787_gene	5.67275389956767	5.44966252478818	5.822280420908482	6.322575845759012	6.004717937541975	6.4548301570710445	6.033254603868745	6.012428464263124	5.664247928187507	6.056282971719384	6.381648569033914	6.263703469558471
3788_gene	3.0816000526721177	3.3814828715266425	3.26864548232625	3.73006830721852	3.820458996814294	3.968745393456904	3.1969431302293385	3.9884772872929988	3.5036123146264737	3.872637503597478	3.7360742382728716	4.254417247639854
3789_gene	0.18331881225667715	0.0	0.0	0.19852181288670742	0.0	0.05393430695411632	0.0	0.0	0.32516993659342536	0.27519542017370713	0.48054122436086805	0.048381285013787655
378_gene	6.161444388541261	6.332824114241738	6.098504261900036	5.529529911221105	5.428133444472146	5.0551940487396525	6.845537621460914	6.0757730816943445	6.813701642025369	5.390726042824365	5.43708468764872	4.9469609525854725
3790_gene	2.9463621866786527	3.195677207033813	2.986750224507695	3.2964613720239244	3.267725747901164	3.243054220529624	3.0891455694969294	3.1073196170887774	3.1692400396191007	3.4315733536834365	3.0943899603711014	2.9330392712510642
3791_gene	3.9008673874732014	3.5202774059889466	3.7542504383832105	4.1366319875092925	4.338299109530514	4.531639032671207	3.542048874781802	4.11321757551785	3.2308479617243426	4.00569056361224	3.803106737936196	3.836953597111023
3792_gene	3.1818826994129394	3.602648927421946	3.680748550349366	4.200386331619922	4.134947690947676	3.7970310373588747	3.8661786345826594	4.515540896567178	3.6463373371321137	2.898450039319834	3.6627912334354815	3.2978763506392275
3793_gene	4.484536396718781	5.129323288184468	4.910011085999523	5.620038346155291	5.634059796641083	4.802989220181045	5.454983727571476	5.38673136157747	5.357522059588292	4.656287044458097	5.466363776431585	4.365556980756775
3794_gene	9.392443996541068	9.853700656784065	9.707786705268532	9.847025698873534	9.341935726886604	9.435888950679017	9.700397277659729	9.813793322628332	9.312457569746588	8.246952496427728	9.130229928163951	8.65027859071091
3795_gene	6.110767629095473	6.7649186583085745	6.3511848562324955	6.777271677151616	6.118148826036391	6.475714513706275	6.55824179268223	6.6152561540517345	6.302615493224621	5.939681791868044	5.91952467457141	5.889651751088586
3796_gene	2.05258491746792	1.4355011192468279	2.187669262965216	1.8848100606820584	2.27444983308214	1.8872753119212293	1.7678772230571562	2.602872772118896	1.5404905639002762	1.3422987240361024	1.8294587009047598	1.7501494003591764
3797_gene	3.108419742590165	2.9357716379587226	3.157442175357935	3.1445797744009005	3.74601204819905	3.383340030786128	3.1801795351612516	3.8025967014499233	3.4511772122225803	2.718119594771944	2.7074130285041793	2.6570269010352447
3798_gene	1.4072439670168635	1.2053324515816655	1.7428646716480385	1.8907396769175209	1.7977629842726295	1.7678145239121428	1.2825862911664547	2.0964092865287505	1.454997047866056	1.1461533845403535	1.3176571728091375	1.544950712636219
